Date,Rate,
2/26/2021 Friday,195.04937,
3/1/2021 Monday,194.40479,
3/2/2021 Tuesday,194.62971,
3/3/2021 Wednesday,195.46999,
3/4/2021 Thursday,196.73083,
3/5/2021 Friday,195.84764,
3/8/2021 Monday,196.44378,
3/9/2021 Tuesday,196.63092,
3/10/2021 Wednesday,196.47069,
3/11/2021 Thursday,196.49051,
3/12/2021 Friday,196.59982,
3/15/2021 Monday,197.39449,
3/16/2021 Tuesday,198.7769,
3/17/2021 Wednesday,200.50725,
3/18/2021 Thursday,197.42301,
3/19/2021 Friday,197.31836,
3/22/2021 Monday,198.29263,
3/23/2021 Tuesday,198.40815,
3/24/2021 Wednesday,199.01424,
3/25/2021 Thursday,198.52529,
3/26/2021 Friday,198.38335,
3/29/2021 Monday,199.1303,
3/30/2021 Tuesday,199.12259,
3/31/2021 Wednesday,199.45191,
4/1/2021 Thursday,199.5532,
4/2/2021 Friday,198.90191,
4/5/2021 Monday,199.46195,
4/6/2021 Tuesday,200.02754,
4/7/2021 Wednesday,200.37421,
4/8/2021 Thursday,201.48833,
4/9/2021 Friday,200.46965,
4/12/2021 Monday,201.56658,
4/13/2021 Tuesday,201.47653,
4/14/2021 Wednesday,201.49942,
4/15/2021 Thursday,200.93181,
4/16/2021 Friday,193.00559,
4/19/2021 Monday,191.02179,
4/20/2021 Tuesday,190.99036,
4/21/2021 Wednesday,192.07458,
4/22/2021 Thursday,194.39419,
4/23/2021 Friday,194.29062,
4/26/2021 Monday,194.56791,
4/27/2021 Tuesday,195.09674,
4/28/2021 Wednesday,194.96012,
4/29/2021 Thursday,196.88477,
4/30/2021 Friday,197.38573,
5/3/2021 Monday,197.01163,
5/4/2021 Tuesday,196.85821,
5/5/2021 Wednesday,196.71855,
5/6/2021 Thursday,197.17585,
5/7/2021 Friday,196.96704,
5/10/2021 Monday,197.01029,
5/11/2021 Tuesday,196.8315,
5/12/2021 Wednesday,196.45893,
5/13/2021 Thursday,196.96164,
5/14/2021 Friday,196.95755,
5/17/2021 Monday,197.12687,
5/18/2021 Tuesday,196.97311,
5/19/2021 Wednesday,197.08513,
5/20/2021 Thursday,196.85852,
5/21/2021 Friday,197.20015,
5/24/2021 Monday,197.04823,
5/25/2021 Tuesday,199.43787,
5/26/2021 Wednesday,198.61454,
5/27/2021 Thursday,198.41571,
5/28/2021 Friday,198.37613,
5/31/2021 Monday,197.75889,
6/1/2021 Tuesday,197.41573,
6/2/2021 Wednesday,198.00963,
6/3/2021 Thursday,197.87346,
6/4/2021 Friday,197.84914,
6/7/2021 Monday,197.51527,
6/8/2021 Tuesday,197.94684,
6/9/2021 Wednesday,198.52796,
6/10/2021 Thursday,199.41288,
6/11/2021 Friday,198.37272,
6/14/2021 Monday,198.06453,
6/15/2021 Tuesday,198.15114,
6/16/2021 Wednesday,198.48534,
6/17/2021 Thursday,198.06546,
6/18/2021 Friday,198.52765,
6/21/2021 Monday,199.05684,
6/22/2021 Tuesday,198.74381,
6/23/2021 Wednesday,199.18607,
6/24/2021 Thursday,199.31395,
6/25/2021 Friday,198.99156,
6/28/2021 Monday,199.11086,
6/29/2021 Tuesday,199.53622,
6/30/2021 Wednesday,199.574,
7/1/2021 Thursday,199.66247,
7/2/2021 Friday,199.52728,
7/5/2021 Monday,198.98117,
7/6/2021 Tuesday,199.54778,
7/7/2021 Wednesday,198.98628,
7/8/2021 Thursday,198.87157,
7/9/2021 Friday,199.14779,
7/12/2021 Monday,199.08507,
7/13/2021 Tuesday,199.46509,
7/14/2021 Wednesday,199.13601,
7/15/2021 Thursday,198.93815,
7/16/2021 Friday,198.8203,
7/19/2021 Monday,198.53728,
7/20/2021 Tuesday,199.49327,
7/21/2021 Wednesday,199.54456,
7/22/2021 Thursday,199.65649,
7/23/2021 Friday,199.44698,
7/26/2021 Monday,199.53803,
7/27/2021 Tuesday,199.04965,
7/28/2021 Wednesday,199.0132,
7/29/2021 Thursday,199.73957,
7/30/2021 Friday,199.7862,
8/2/2021 Monday,199.53643,
8/3/2021 Tuesday,199.48731,
8/4/2021 Wednesday,199.53012,
8/5/2021 Thursday,199.54239,
8/6/2021 Friday,199.07846,
8/9/2021 Monday,199.47838,
8/10/2021 Tuesday,199.53992,
8/11/2021 Wednesday,199.46595,
8/12/2021 Thursday,199.44876,
8/13/2021 Friday,199.70988,
8/16/2021 Monday,199.47249,
8/17/2021 Tuesday,199.48532,
8/18/2021 Wednesday,199.50851,
8/19/2021 Thursday,199.50429,
8/20/2021 Friday,199.57926,
8/23/2021 Monday,199.85878,
8/24/2021 Tuesday,199.45117,
8/25/2021 Wednesday,199.48567,
8/26/2021 Thursday,199.36624,
8/27/2021 Friday,199.52713,
8/30/2021 Monday,199.6789,
8/31/2021 Tuesday,199.31215,
9/1/2021 Wednesday,200.00224,
9/2/2021 Thursday,199.60365,
9/3/2021 Friday,199.7363,
9/6/2021 Monday,200.27908,
9/7/2021 Tuesday,201.53802,
9/8/2021 Wednesday,199.69869,
9/9/2021 Thursday,199.78144,
9/10/2021 Friday,199.74623,
9/13/2021 Monday,199.53249,
9/14/2021 Tuesday,199.44074,
9/15/2021 Wednesday,199.43118,
9/16/2021 Thursday,199.32615,
9/17/2021 Friday,199.95891,
9/20/2021 Monday,199.50923,
9/21/2021 Tuesday,199.96368,
9/22/2021 Wednesday,199.7686,
9/23/2021 Thursday,199.56649,
9/24/2021 Friday,200.28215,
9/27/2021 Monday,200.0393,
9/28/2021 Tuesday,199.76859,
9/29/2021 Wednesday,199.82238,
9/30/2021 Thursday,199.71885,
10/1/2021 Friday,199.58429,
10/4/2021 Monday,200.01695,
10/5/2021 Tuesday,199.67988,
10/6/2021 Wednesday,199.57779,
10/7/2021 Thursday,199.99692,
10/8/2021 Friday,199.95483,
10/11/2021 Monday,200.07121,
10/12/2021 Tuesday,200.79346,
10/13/2021 Wednesday,201.06927,
10/14/2021 Thursday,200.95852,
10/15/2021 Friday,202.75534,
10/18/2021 Monday,200.4652,
10/19/2021 Tuesday,200.98237,
10/20/2021 Wednesday,200.46295,
10/21/2021 Thursday,200.39341,
10/22/2021 Friday,201.08244,////
10/25/2021 Monday,202.12138,
10/26/2021 Tuesday,201.64034,
10/27/2021 Wednesday,201.4283,
10/28/2021 Thursday,201.97919,
10/29/2021 Friday,201.88251,
11/1/2021 Monday,202.08712,
11/2/2021 Tuesday,202.50889,
11/3/2021 Wednesday,201.4435,
11/4/2021 Thursday,201.53174,
11/5/2021 Friday,202.36818,
11/8/2021 Monday,201.37259,
11/9/2021 Tuesday,201.46887,
11/10/2021 Wednesday,202.01541,
11/11/2021 Thursday,201.95726,
